InputID,TargetID,Distance
ATKO,3166,2.53382789717
ATKO,111,2.67262676266
WTRB,3309,0.406644453669
WTRB,101,1.04336413188
WTRB,3310,1.24808481751
WTRB,3319,1.6257468166
WTRB,3320,1.98241032879
WTRB,3217,2.13343636223
WTRB,3210,2.29459079395
WTRB,3305,2.32317750327
WTRB,3321,2.38403811037
WTRB,3314,2.41869276918
B2NU,1415,2.5744354954
B2NU,1416,3.59086871384
B2NU,1417,3.98199423907
B2NU,1418,4.7857076927
B2NU,1419,5.49073019916
B2NU,3521,6.05270634675
B2NU,3520,6.84491826978
B2NU,1420,7.52419843704
B2NU,3519,7.71981593822
B2NU,3511,7.92345998412
WAGN,2436,2.79756431869
WAGN,2435,2.79756431869
WAGN,2434,2.79756431869
WAGN,2433,2.95519558019
WAGN,2432,2.95519558019
WAGN,2431,2.95519558019
WAGN,2446,3.52242951912
WAGN,2447,3.52242951912
WAGN,2448,3.52242951912
WAGN,2450,4.16474951434
WAGN,2449,4.16474951434
WAGN,2451,4.16474951434
UWOO,12950,2.16914424601
UWOO,3188,2.31506603793
UWOO,3187,2.3434450623
UWOO,3186,2.61283653526
UWOO,7839,2.80332280696
UWOO,3184,3.09028716465
UWOO,7840,3.19368920842
UWOO,7844,3.40887822604
UWOO,3183,3.45226979826
UWOO,7841,3.57109825684
INK,12680,0.0064538023335
INK,3295,0.721517874737
INK,3294,2.08576738961
INK,121,2.73758409251
INK,3448,7.24058349386
INK,3449,7.76556938489
INK,114,8.89529219911
INK,7312,9.46977464059
INK,7313,10.0735726594
INK,7314,10.7508802237
LZB,12681,0.375558051438
LZB,2297,0.732604838914
LZB,2299,0.777733791217
LZB,1644,0.881905805628
LZB,3314,0.896857764643
LZB,2301,0.91752811946
LZB,3210,0.958396499368
LZB,3321,1.0456308383
LZB,3320,1.12285076925
LZB,3319,1.29021465268
RDEA,3213,1.5893133651
RDEA,6963,1.88279764513
RDEA,6965,1.98276245993
RDEA,6961,1.98357933355
RDEA,6962,2.50131704758
RDEA,3215,2.51258969442
RDEA,1409,2.7327315954
RDEA,3216,3.35957095066
RDEA,6967,3.38245132596
RDEA,6966,3.54171243504
EKTN,2415,3.85969769289
EKTN,2416,4.07123640685
EKTN,12797,4.35551118475
EKTN,2417,4.40194541998
EKTN,297,4.59663869371
EKTN,120,4.80563249536
EKTN,12798,4.93950652196
EKTN,12799,5.0952793133
EKTN,2414,7.93139841897
EKTN,3507,9.55182304487
SHWN,2550,2.18145411033
SHWN,2551,2.18145411033
SHWN,2552,2.18145411033
SHWN,2454,4.06745904816
SHWN,2453,4.06745904816
SHWN,2452,4.06745904816
SHWN,2455,4.12313840872
SHWN,2457,4.12313840872
SHWN,2456,4.12313840872
SHWN,2449,4.24949083009
SHWN,2451,4.24949083009
SHWN,2450,4.24949083009
RES,3325,1.31487315745
RES,3324,2.31309866201
RES,3233,4.04253287187
RES,13074,4.12413665634
RES,122,4.53816674663
RES,7566,8.44322558861
RES,7565,9.05099352006
RES,2433,11.812333595
RES,2432,11.812333595
RES,2431,11.812333595
ENGB,12681,0.508463907175
ENGB,3315,0.636712293662
ENGB,3314,0.784519308175
ENGB,3321,0.886324175965
ENGB,3210,0.914213292892
ENGB,2566,0.915230104892
ENGB,2567,0.915230104892
ENGB,1644,0.928519975499
ENGB,2301,1.14244052138
ENGB,2299,1.22241193748
BRPO,3783,0.414309978277
BRPO,7825,0.607491693853
BRPO,3788,0.638320732939
BRPO,7824,0.754588204321
BRPO,7826,0.866872861555
BRPO,4236,0.903381623734
BRPO,7827,0.974445564462
BRPO,7823,1.12199338594
BRPO,3218,1.18066343981
BRPO,3209,1.27833366462
TSJB,12681,0.540719362331
TSJB,2297,0.732640586372
TSJB,2299,0.838972126355
TSJB,3314,0.943896937594
TSJB,3210,0.985031892276
TSJB,1644,1.01294611347
TSJB,2301,1.01809421411
TSJB,3321,1.08768443438
TSJB,3320,1.10436109529
TSJB,3319,1.12910470232
ORIO,12809,0.0704272801477
ORIO,12678,0.250449200017
ORIO,12951,0.532729726774
ORIO,3784,0.561051692618
ORIO,3790,1.15259375401
ORIO,3219,1.22532942582
ORIO,12645,1.23099918838
ORIO,3785,1.24148182499
ORIO,1994,1.35854509744
ORIO,66,1.35854509744
SCHQ,4310,0.212979348607
SCHQ,12954,0.462707924001
SCHQ,2428,0.904163626194
SCHQ,2424,2.37110527454
SCHQ,4312,3.26829333796
SCHQ,6484,3.28751806123
SCHQ,2426,3.37310839478
SCHQ,6485,4.03489429638
SCHQ,7591,4.28822241528
SCHQ,7590,4.35986486521
TYNO,12950,0.772818950337
TYNO,3188,2.08869747211
TYNO,3218,2.60848713434
TYNO,7839,2.6755936033
TYNO,7824,2.8032354753
TYNO,7823,2.81383210764
